	virus_type	district	season	case_number	year	area [ha]	population	population_density	population_density_bw	pop_exp	pop_dens_exp	area_exp	area [km^2]	area ex [km^2]
4239	IF A	VS	2010/11	3.0	2010	102527.0	206535.0	201.0	301.0	202591.47	197.6	102526.9	1025.269	1025.27
4240	IF A(H1N1) pandemic09	VS	2010/11	1.0	2010	102527.0	206535.0	201.0	301.0	202591.47	197.6	102526.9	1025.269	1025.27
4241	IF A(H1N1) prepandemic	VS	2010/11	0.0	2010	102527.0	206535.0	201.0	301.0	202591.47	197.6	102526.9	1025.269	1025.27
4242	IF A(H1N2)	VS	2010/11	0.0	2010	102527.0	206535.0	201.0	301.0	202591.47	197.6	102526.9	1025.269	1025.27
4243	IF A(H3N2)	VS	2010/11	5.0	2010	102527.0	206535.0	201.0	301.0	202591.47	197.6	102526.9	1025.269	1025.27
4244	IF A/B not determined	VS	2010/11	39.0	2010	102527.0	206535.0	201.0	301.0	202591.47	197.6	102526.9	1025.269	1025.27
4245	IF B	VS	2010/11	0.0	2010	102527.0	206535.0	201.0	301.0	202591.47	197.6	102526.9	1025.269	1025.27
4246	IF C	VS	2010/11	0.0	2010	102527.0	206535.0	201.0	301.0	202591.47	197.6	102526.9	1025.269	1025.27
4247	not determined	VS	2010/11	0.0	2010	102527.0	206535.0	201.0	301.0	202591.47	197.6	102526.9	1025.269	1025.27
4248	IF A	WT	2010/11	4.0	2010	113116.0	166140.0	147.0	301.0	161884.8	143.12	113115.33	1131.1533	1131.15
4249	IF A(H1N1) pandemic09	WT	2010/11	0.0	2010	113116.0	166140.0	147.0	301.0	161884.8	143.12	113115.33	1131.1533	1131.15
4250	IF A(H1N1) prepandemic	WT	2010/11	0.0	2010	113116.0	166140.0	147.0	301.0	161884.8	143.12	113115.33	1131.1533	1131.15
4251	IF A(H1N2)	WT	2010/11	0.0	2010	113116.0	166140.0	147.0	301.0	161884.8	143.12	113115.33	1131.1533	1131.15
4252	IF A(H3N2)	WT	2010/11	3.0	2010	113116.0	166140.0	147.0	301.0	161884.8	143.12	113115.33	1131.1533	1131.15
4253	IF A/B not determined	WT	2010/11	2.0	2010	113116.0	166140.0	147.0	301.0	161884.8	143.12	113115.33	1131.1533	1131.15
4254	IF B	WT	2010/11	3.0	2010	113116.0	166140.0	147.0	301.0	161884.8	143.12	113115.33	1131.1533	1131.15
4255	IF C	WT	2010/11	0.0	2010	113116.0	166140.0	147.0	301.0	161884.8	143.12	113115.33	1131.1533	1131.15
4256	not determined	WT	2010/11	0.0	2010	113116.0	166140.0	147.0	301.0	161884.8	143.12	113115.33	1131.1533	1131.15
4257	IF A	AD	2011/12	16.0	2011	135867.0	186444.0	137.0	295.0	185814.78	136.84	135793.33	1357.9333	1357.93
4258	IF A(H1N1) pandemic09	AD	2011/12	0.0	2011	135867.0	186444.0	137.0	295.0	185814.78	136.84	135793.33	1357.9333	1357.93
4259	IF A(H1N1) prepandemic	AD	2011/12	0.0	2011	135867.0	186444.0	137.0	295.0	185814.78	136.84	135793.33	1357.9333	1357.93
4260	IF A(H1N2)	AD	2011/12	0.0	2011	135867.0	186444.0	137.0	295.0	185814.78	136.84	135793.33	1357.9333	1357.93
4261	IF A(H3N2)	AD	2011/12	2.0	2011	135867.0	186444.0	137.0	295.0	185814.78	136.84	135793.33	1357.9333	1357.93
4262	IF A/B not determined	AD	2011/12	1.0	2011	135867.0	186444.0	137.0	295.0	185814.78	136.84	135793.33	1357.9333	1357.93
4263	IF B	AD	2011/12	5.0	2011	135867.0	186444.0	137.0	295.0	185814.78	136.84	135793.33	1357.9333	1357.93
4264	IF C	AD	2011/12	0.0	2011	135867.0	186444.0	137.0	295.0	185814.78	136.84	135793.33	1357.9333	1357.93
4265	not determined	AD	2011/12	0.0	2011	135867.0	186444.0	137.0	295.0	185814.78	136.84	135793.33	1357.9333	1357.93
4266	IF A	BAD	2011/12	38.0	2011	14021.0	52424.0	374.0	295.0	52387.18	373.69	14019.24	140.1924	140.19
4267	IF A(H1N1) pandemic09	BAD	2011/12	2.0	2011	14021.0	52424.0	374.0	295.0	52387.18	373.69	14019.24	140.1924	140.19
4268	IF A(H1N1) prepandemic	BAD	2011/12	0.0	2011	14021.0	52424.0	374.0	295.0	52387.18	373.69	14019.24	140.1924	140.19
4269	IF A(H1N2)	BAD	2011/12	0.0	2011	14021.0	52424.0	374.0	295.0	52387.18	373.69	14019.24	140.1924	140.19
4270	IF A(H3N2)	BAD	2011/12	1.0	2011	14021.0	52424.0	374.0	295.0	52387.18	373.69	14019.24	140.1924	140.19
4271	IF A/B not determined	BAD	2011/12	0.0	2011	14021.0	52424.0	374.0	295.0	52387.18	373.69	14019.24	140.1924	140.19
4272	IF B	BAD	2011/12	7.0	2011	14021.0	52424.0	374.0	295.0	52387.18	373.69	14019.24	140.1924	140.19
4273	IF C	BAD	2011/12	0.0	2011	14021.0	52424.0	374.0	295.0	52387.18	373.69	14019.24	140.1924	140.19
4274	not determined	BAD	2011/12	3.0	2011	14021.0	52424.0	374.0	295.0	52387.18	373.69	14019.24	140.1924	140.19
4275	IF A	BB	2011/12	23.0	2011	61785.0	364458.0	590.0	295.0	364899.71	590.62	61781.57	617.8157	617.82
4276	IF A(H1N1) pandemic09	BB	2011/12	0.0	2011	61785.0	364458.0	590.0	295.0	364899.71	590.62	61781.57	617.8157	617.82
4277	IF A(H1N1) prepandemic	BB	2011/12	0.0	2011	61785.0	364458.0	590.0	295.0	364899.71	590.62	61781.57	617.8157	617.82
4278	IF A(H1N2)	BB	2011/12	0.0	2011	61785.0	364458.0	590.0	295.0	364899.71	590.62	61781.57	617.8157	617.82
4279	IF A(H3N2)	BB	2011/12	3.0	2011	61785.0	364458.0	590.0	295.0	364899.71	590.62	61781.57	617.8157	617.82
4280	IF A/B not determined	BB	2011/12	0.0	2011	61785.0	364458.0	590.0	295.0	364899.71	590.62	61781.57	617.8157	617.82
4281	IF B	BB	2011/12	10.0	2011	61785.0	364458.0	590.0	295.0	364899.71	590.62	61781.57	617.8157	617.82
4282	IF C	BB	2011/12	0.0	2011	61785.0	364458.0	590.0	295.0	364899.71	590.62	61781.57	617.8157	617.82
4283	not determined	BB	2011/12	0.0	2011	61785.0	364458.0	590.0	295.0	364899.71	590.62	61781.57	617.8157	617.82
4284	IF A	BC	2011/12	7.0	2011	140975.0	187508.0	133.0	295.0	186206.55	132.09	140972.0	1409.72	1409.72
4285	IF A(H1N1) pandemic09	BC	2011/12	0.0	2011	140975.0	187508.0	133.0	295.0	186206.55	132.09	140972.0	1409.72	1409.72
4286	IF A(H1N1) prepandemic	BC	2011/12	0.0	2011	140975.0	187508.0	133.0	295.0	186206.55	132.09	140972.0	1409.72	1409.72
4287	IF A(H1N2)	BC	2011/12	0.0	2011	140975.0	187508.0	133.0	295.0	186206.55	132.09	140972.0	1409.72	1409.72
4288	IF A(H3N2)	BC	2011/12	1.0	2011	140975.0	187508.0	133.0	295.0	186206.55	132.09	140972.0	1409.72	1409.72
4289	IF A/B not determined	BC	2011/12	1.0	2011	140975.0	187508.0	133.0	295.0	186206.55	132.09	140972.0	1409.72	1409.72
4290	IF B	BC	2011/12	0.0	2011	140975.0	187508.0	133.0	295.0	186206.55	132.09	140972.0	1409.72	1409.72
4291	IF C	BC	2011/12	0.0	2011	140975.0	187508.0	133.0	295.0	186206.55	132.09	140972.0	1409.72	1409.72
4292	not determined	BC	2011/12	0.0	2011	140975.0	187508.0	133.0	295.0	186206.55	132.09	140972.0	1409.72	1409.72
4293	IF A	BHS	2011/12	0.0	2011	137833.0	246437.0	179.0	295.0	246688.89	178.98	137832.76	1378.3276	1378.33
4294	IF A(H1N1) pandemic09	BHS	2011/12	0.0	2011	137833.0	246437.0	179.0	295.0	246688.89	178.98	137832.76	1378.3276	1378.33
4295	IF A(H1N1) prepandemic	BHS	2011/12	0.0	2011	137833.0	246437.0	179.0	295.0	246688.89	178.98	137832.76	1378.3276	1378.33
4296	IF A(H1N2)	BHS	2011/12	0.0	2011	137833.0	246437.0	179.0	295.0	246688.89	178.98	137832.76	1378.3276	1378.33
4297	IF A(H3N2)	BHS	2011/12	15.0	2011	137833.0	246437.0	179.0	295.0	246688.89	178.98	137832.76	1378.3276	1378.33
4298	IF A/B not determined	BHS	2011/12	13.0	2011	137833.0	246437.0	179.0	295.0	246688.89	178.98	137832.76	1378.3276	1378.33
4299	IF B	BHS	2011/12	10.0	2011	137833.0	246437.0	179.0	295.0	246688.89	178.98	137832.76	1378.3276	1378.33
4300	IF C	BHS	2011/12	0.0	2011	137833.0	246437.0	179.0	295.0	246688.89	178.98	137832.76	1378.3276	1378.33
4301	not determined	BHS	2011/12	0.0	2011	137833.0	246437.0	179.0	295.0	246688.89	178.98	137832.76	1378.3276	1378.33
4302	IF A	BL	2011/12	3.0	2011	91771.0	185129.0	202.0	295.0	184544.22	201.1	91768.43	917.6842999999999	917.68
4303	IF A(H1N1) pandemic09	BL	2011/12	0.0	2011	91771.0	185129.0	202.0	295.0	184544.22	201.1	91768.43	917.6842999999999	917.68
4304	IF A(H1N1) prepandemic	BL	2011/12	0.0	2011	91771.0	185129.0	202.0	295.0	184544.22	201.1	91768.43	917.6842999999999	917.68
4305	IF A(H1N2)	BL	2011/12	0.0	2011	91771.0	185129.0	202.0	295.0	184544.22	201.1	91768.43	917.6842999999999	917.68
4306	IF A(H3N2)	BL	2011/12	3.0	2011	91771.0	185129.0	202.0	295.0	184544.22	201.1	91768.43	917.6842999999999	917.68
4307	IF A/B not determined	BL	2011/12	11.0	2011	91771.0	185129.0	202.0	295.0	184544.22	201.1	91768.43	917.6842999999999	917.68
4308	IF B	BL	2011/12	0.0	2011	91771.0	185129.0	202.0	295.0	184544.22	201.1	91768.43	917.6842999999999	917.68
4309	IF C	BL	2011/12	0.0	2011	91771.0	185129.0	202.0	295.0	184544.22	201.1	91768.43	917.6842999999999	917.68
4310	not determined	BL	2011/12	0.0	2011	91771.0	185129.0	202.0	295.0	184544.22	201.1	91768.43	917.6842999999999	917.68
4311	IF A	BS	2011/12	7.0	2011	66479.0	204483.0	308.0	295.0	204703.73	307.92	66478.76	664.7876	664.79
4312	IF A(H1N1) pandemic09	BS	2011/12	1.0	2011	66479.0	204483.0	308.0	295.0	204703.73	307.92	66478.76	664.7876	664.79
4313	IF A(H1N1) prepandemic	BS	2011/12	0.0	2011	66479.0	204483.0	308.0	295.0	204703.73	307.92	66478.76	664.7876	664.79
4314	IF A(H1N2)	BS	2011/12	0.0	2011	66479.0	204483.0	308.0	295.0	204703.73	307.92	66478.76	664.7876	664.79
4315	IF A(H3N2)	BS	2011/12	12.0	2011	66479.0	204483.0	308.0	295.0	204703.73	307.92	66478.76	664.7876	664.79
4316	IF A/B not determined	BS	2011/12	13.0	2011	66479.0	204483.0	308.0	295.0	204703.73	307.92	66478.76	664.7876	664.79
4317	IF B	BS	2011/12	2.0	2011	66479.0	204483.0	308.0	295.0	204703.73	307.92	66478.76	664.7876	664.79
4318	IF C	BS	2011/12	0.0	2011	66479.0	204483.0	308.0	295.0	204703.73	307.92	66478.76	664.7876	664.79
4319	not determined	BS	2011/12	0.0	2011	66479.0	204483.0	308.0	295.0	204703.73	307.92	66478.76	664.7876	664.79
4320	IF A	CW	2011/12	8.0	2011	79751.0	150990.0	189.0	295.0	150028.96	188.13	79746.14	797.4614	797.46
4321	IF A(H1N1) pandemic09	CW	2011/12	1.0	2011	79751.0	150990.0	189.0	295.0	150028.96	188.13	79746.14	797.4614	797.46
4322	IF A(H1N1) prepandemic	CW	2011/12	0.0	2011	79751.0	150990.0	189.0	295.0	150028.96	188.13	79746.14	797.4614	797.46
4323	IF A(H1N2)	CW	2011/12	0.0	2011	79751.0	150990.0	189.0	295.0	150028.96	188.13	79746.14	797.4614	797.46
4324	IF A(H3N2)	CW	2011/12	0.0	2011	79751.0	150990.0	189.0	295.0	150028.96	188.13	79746.14	797.4614	797.46
4325	IF A/B not determined	CW	2011/12	0.0	2011	79751.0	150990.0	189.0	295.0	150028.96	188.13	79746.14	797.4614	797.46
4326	IF B	CW	2011/12	2.0	2011	79751.0	150990.0	189.0	295.0	150028.96	188.13	79746.14	797.4614	797.46
4327	IF C	CW	2011/12	0.0	2011	79751.0	150990.0	189.0	295.0	150028.96	188.13	79746.14	797.4614	797.46
4328	not determined	CW	2011/12	0.0	2011	79751.0	150990.0	189.0	295.0	150028.96	188.13	79746.14	797.4614	797.46
4329	IF A	EM	2011/12	1.0	2011	67988.0	156723.0	231.0	295.0	156438.0	230.1	67986.48	679.8648	679.86
4330	IF A(H1N1) pandemic09	EM	2011/12	0.0	2011	67988.0	156723.0	231.0	295.0	156438.0	230.1	67986.48	679.8648	679.86
4331	IF A(H1N1) prepandemic	EM	2011/12	0.0	2011	67988.0	156723.0	231.0	295.0	156438.0	230.1	67986.48	679.8648	679.86
4332	IF A(H1N2)	EM	2011/12	0.0	2011	67988.0	156723.0	231.0	295.0	156438.0	230.1	67986.48	679.8648	679.86
4333	IF A(H3N2)	EM	2011/12	8.0	2011	67988.0	156723.0	231.0	295.0	156438.0	230.1	67986.48	679.8648	679.86
4334	IF A/B not determined	EM	2011/12	28.0	2011	67988.0	156723.0	231.0	295.0	156438.0	230.1	67986.48	679.8648	679.86
4335	IF B	EM	2011/12	6.0	2011	67988.0	156723.0	231.0	295.0	156438.0	230.1	67986.48	679.8648	679.86
4336	IF C	EM	2011/12	0.0	2011	67988.0	156723.0	231.0	295.0	156438.0	230.1	67986.48	679.8648	679.86
4337	not determined	EM	2011/12	0.0	2011	67988.0	156723.0	231.0	295.0	156438.0	230.1	67986.48	679.8648	679.86
4338	IF A	ENZ	2011/12	45.0	2011	57368.0	191461.0	334.0	295.0	191295.69	333.45	57368.48	573.6848	573.68
4339	IF A(H1N1) pandemic09	ENZ	2011/12	1.0	2011	57368.0	191461.0	334.0	295.0	191295.69	333.45	57368.48	573.6848	573.68
4340	IF A(H1N1) prepandemic	ENZ	2011/12	0.0	2011	57368.0	191461.0	334.0	295.0	191295.69	333.45	57368.48	573.6848	573.68
4341	IF A(H1N2)	ENZ	2011/12	0.0	2011	57368.0	191461.0	334.0	295.0	191295.69	333.45	57368.48	573.6848	573.68
4342	IF A(H3N2)	ENZ	2011/12	0.0	2011	57368.0	191461.0	334.0	295.0	191295.69	333.45	57368.48	573.6848	573.68
4343	IF A/B not determined	ENZ	2011/12	0.0	2011	57368.0	191461.0	334.0	295.0	191295.69	333.45	57368.48	573.6848	573.68
4344	IF B	ENZ	2011/12	16.0	2011	57368.0	191461.0	334.0	295.0	191295.69	333.45	57368.48	573.6848	573.68
4345	IF C	ENZ	2011/12	0.0	2011	57368.0	191461.0	334.0	295.0	191295.69	333.45	57368.48	573.6848	573.68
4346	not determined	ENZ	2011/12	0.0	2011	57368.0	191461.0	334.0	295.0	191295.69	333.45	57368.48	573.6848	573.68
4347	IF A	ES	2011/12	66.0	2011	64148.0	504961.0	787.0	295.0	506611.6	789.82	64142.95	641.4295	641.43
4348	IF A(H1N1) pandemic09	ES	2011/12	0.0	2011	64148.0	504961.0	787.0	295.0	506611.6	789.82	64142.95	641.4295	641.43
4349	IF A(H1N1) prepandemic	ES	2011/12	0.0	2011	64148.0	504961.0	787.0	295.0	506611.6	789.82	64142.95	641.4295	641.43
4350	IF A(H1N2)	ES	2011/12	0.0	2011	64148.0	504961.0	787.0	295.0	506611.6	789.82	64142.95	641.4295	641.43
4351	IF A(H3N2)	ES	2011/12	5.0	2011	64148.0	504961.0	787.0	295.0	506611.6	789.82	64142.95	641.4295	641.43
4352	IF A/B not determined	ES	2011/12	9.0	2011	64148.0	504961.0	787.0	295.0	506611.6	789.82	64142.95	641.4295	641.43
4353	IF B	ES	2011/12	32.0	2011	64148.0	504961.0	787.0	295.0	506611.6	789.82	64142.95	641.4295	641.43
4354	IF C	ES	2011/12	0.0	2011	64148.0	504961.0	787.0	295.0	506611.6	789.82	64142.95	641.4295	641.43
4355	not determined	ES	2011/12	0.0	2011	64148.0	504961.0	787.0	295.0	506611.6	789.82	64142.95	641.4295	641.43
4356	IF A	FDS	2011/12	9.0	2011	87067.0	115220.0	132.0	295.0	114503.58	131.52	87060.86	870.6086	870.61
4357	IF A(H1N1) pandemic09	FDS	2011/12	6.0	2011	87067.0	115220.0	132.0	295.0	114503.58	131.52	87060.86	870.6086	870.61
4358	IF A(H1N1) prepandemic	FDS	2011/12	0.0	2011	87067.0	115220.0	132.0	295.0	114503.58	131.52	87060.86	870.6086	870.61
4359	IF A(H1N2)	FDS	2011/12	0.0	2011	87067.0	115220.0	132.0	295.0	114503.58	131.52	87060.86	870.6086	870.61
4360	IF A(H3N2)	FDS	2011/12	1.0	2011	87067.0	115220.0	132.0	295.0	114503.58	131.52	87060.86	870.6086	870.61
4361	IF A/B not determined	FDS	2011/12	11.0	2011	87067.0	115220.0	132.0	295.0	114503.58	131.52	87060.86	870.6086	870.61
4362	IF B	FDS	2011/12	9.0	2011	87067.0	115220.0	132.0	295.0	114503.58	131.52	87060.86	870.6086	870.61
4363	IF C	FDS	2011/12	0.0	2011	87067.0	115220.0	132.0	295.0	114503.58	131.52	87060.86	870.6086	870.61
4364	not determined	FDS	2011/12	6.0	2011	87067.0	115220.0	132.0	295.0	114503.58	131.52	87060.86	870.6086	870.61
4365	IF A	FR	2011/12	0.0	2011	15306.0	214234.0	1400.0	295.0	216466.4	1414.26	15305.52	153.0552	153.06
4366	IF A(H1N1) pandemic09	FR	2011/12	2.0	2011	15306.0	214234.0	1400.0	295.0	216466.4	1414.26	15305.52	153.0552	153.06
4367	IF A(H1N1) prepandemic	FR	2011/12	0.0	2011	15306.0	214234.0	1400.0	295.0	216466.4	1414.26	15305.52	153.0552	153.06
4368	IF A(H1N2)	FR	2011/12	0.0	2011	15306.0	214234.0	1400.0	295.0	216466.4	1414.26	15305.52	153.0552	153.06
4369	IF A(H3N2)	FR	2011/12	22.0	2011	15306.0	214234.0	1400.0	295.0	216466.4	1414.26	15305.52	153.0552	153.06
4370	IF A/B not determined	FR	2011/12	34.0	2011	15306.0	214234.0	1400.0	295.0	216466.4	1414.26	15305.52	153.0552	153.06
4371	IF B	FR	2011/12	10.0	2011	15306.0	214234.0	1400.0	295.0	216466.4	1414.26	15305.52	153.0552	153.06
4372	IF C	FR	2011/12	0.0	2011	15306.0	214234.0	1400.0	295.0	216466.4	1414.26	15305.52	153.0552	153.06
4373	not determined	FR	2011/12	0.0	2011	15306.0	214234.0	1400.0	295.0	216466.4	1414.26	15305.52	153.0552	153.06
4374	IF A	GP	2011/12	30.0	2011	64237.0	247194.0	385.0	295.0	246661.2	384.0	64235.29	642.3529	642.35
4375	IF A(H1N1) pandemic09	GP	2011/12	2.0	2011	64237.0	247194.0	385.0	295.0	246661.2	384.0	64235.29	642.3529	642.35
4376	IF A(H1N1) prepandemic	GP	2011/12	0.0	2011	64237.0	247194.0	385.0	295.0	246661.2	384.0	64235.29	642.3529	642.35
4377	IF A(H1N2)	GP	2011/12	0.0	2011	64237.0	247194.0	385.0	295.0	246661.2	384.0	64235.29	642.3529	642.35
4378	IF A(H3N2)	GP	2011/12	0.0	2011	64237.0	247194.0	385.0	295.0	246661.2	384.0	64235.29	642.3529	642.35
4379	IF A/B not determined	GP	2011/12	3.0	2011	64237.0	247194.0	385.0	295.0	246661.2	384.0	64235.29	642.3529	642.35
4380	IF B	GP	2011/12	4.0	2011	64237.0	247194.0	385.0	295.0	246661.2	384.0	64235.29	642.3529	642.35
4381	IF C	GP	2011/12	0.0	2011	64237.0	247194.0	385.0	295.0	246661.2	384.0	64235.29	642.3529	642.35
4382	not determined	GP	2011/12	0.0	2011	64237.0	247194.0	385.0	295.0	246661.2	384.0	64235.29	642.3529	642.35
4383	IF A	HD	2011/12	33.0	2011	10883.0	148415.0	1364.0	295.0	149925.95	1377.49	10883.67	108.83670000000001	108.84
4384	IF A(H1N1) pandemic09	HD	2011/12	3.0	2011	10883.0	148415.0	1364.0	295.0	149925.95	1377.49	10883.67	108.83670000000001	108.84
4385	IF A(H1N1) prepandemic	HD	2011/12	0.0	2011	10883.0	148415.0	1364.0	295.0	149925.95	1377.49	10883.67	108.83670000000001	108.84
4386	IF A(H1N2)	HD	2011/12	0.0	2011	10883.0	148415.0	1364.0	295.0	149925.95	1377.49	10883.67	108.83670000000001	108.84
4387	IF A(H3N2)	HD	2011/12	0.0	2011	10883.0	148415.0	1364.0	295.0	149925.95	1377.49	10883.67	108.83670000000001	108.84
4388	IF A/B not determined	HD	2011/12	0.0	2011	10883.0	148415.0	1364.0	295.0	149925.95	1377.49	10883.67	108.83670000000001	108.84
4389	IF B	HD	2011/12	26.0	2011	10883.0	148415.0	1364.0	295.0	149925.95	1377.49	10883.67	108.83670000000001	108.84
4390	IF C	HD	2011/12	0.0	2011	10883.0	148415.0	1364.0	295.0	149925.95	1377.49	10883.67	108.83670000000001	108.84
4391	not determined	HD	2011/12	0.0	2011	10883.0	148415.0	1364.0	295.0	149925.95	1377.49	10883.67	108.83670000000001	108.84
4392	IF A	HDH	2011/12	10.0	2011	62712.0	127691.0	204.0	295.0	127281.27	202.96	62712.52	627.1252	627.13
4393	IF A(H1N1) pandemic09	HDH	2011/12	0.0	2011	62712.0	127691.0	204.0	295.0	127281.27	202.96	62712.52	627.1252	627.13
4394	IF A(H1N1) prepandemic	HDH	2011/12	0.0	2011	62712.0	127691.0	204.0	295.0	127281.27	202.96	62712.52	627.1252	627.13
4395	IF A(H1N2)	HDH	2011/12	0.0	2011	62712.0	127691.0	204.0	295.0	127281.27	202.96	62712.52	627.1252	627.13
4396	IF A(H3N2)	HDH	2011/12	0.0	2011	62712.0	127691.0	204.0	295.0	127281.27	202.96	62712.52	627.1252	627.13
4397	IF A/B not determined	HDH	2011/12	3.0	2011	62712.0	127691.0	204.0	295.0	127281.27	202.96	62712.52	627.1252	627.13
4398	IF B	HDH	2011/12	3.0	2011	62712.0	127691.0	204.0	295.0	127281.27	202.96	62712.52	627.1252	627.13
4399	IF C	HDH	2011/12	0.0	2011	62712.0	127691.0	204.0	295.0	127281.27	202.96	62712.52	627.1252	627.13
4400	not determined	HDH	2011/12	0.0	2011	62712.0	127691.0	204.0	295.0	127281.27	202.96	62712.52	627.1252	627.13
4401	IF A	HNL	2011/12	9.0	2011	109993.0	323168.0	294.0	295.0	322114.31	292.85	109992.76	1099.9276	1099.93
4402	IF A(H1N1) pandemic09	HNL	2011/12	0.0	2011	109993.0	323168.0	294.0	295.0	322114.31	292.85	109992.76	1099.9276	1099.93
4403	IF A(H1N1) prepandemic	HNL	2011/12	0.0	2011	109993.0	323168.0	294.0	295.0	322114.31	292.85	109992.76	1099.9276	1099.93
4404	IF A(H1N2)	HNL	2011/12	0.0	2011	109993.0	323168.0	294.0	295.0	322114.31	292.85	109992.76	1099.9276	1099.93
4405	IF A(H3N2)	HNL	2011/12	13.0	2011	109993.0	323168.0	294.0	295.0	322114.31	292.85	109992.76	1099.9276	1099.93
4406	IF A/B not determined	HNL	2011/12	0.0	2011	109993.0	323168.0	294.0	295.0	322114.31	292.85	109992.76	1099.9276	1099.93
4407	IF B	HNL	2011/12	3.0	2011	109993.0	323168.0	294.0	295.0	322114.31	292.85	109992.76	1099.9276	1099.93
4408	IF C	HNL	2011/12	0.0	2011	109993.0	323168.0	294.0	295.0	322114.31	292.85	109992.76	1099.9276	1099.93
4409	not determined	HNL	2011/12	0.0	2011	109993.0	323168.0	294.0	295.0	322114.31	292.85	109992.76	1099.9276	1099.93
4410	IF A	HNS	2011/12	9.0	2011	9988.0	116716.0	1169.0	295.0	116613.05	1167.53	9988.33	99.8833	99.88
4411	IF A(H1N1) pandemic09	HNS	2011/12	3.0	2011	9988.0	116716.0	1169.0	295.0	116613.05	1167.53	9988.33	99.8833	99.88
4412	IF A(H1N1) prepandemic	HNS	2011/12	0.0	2011	9988.0	116716.0	1169.0	295.0	116613.05	1167.53	9988.33	99.8833	99.88
4413	IF A(H1N2)	HNS	2011/12	0.0	2011	9988.0	116716.0	1169.0	295.0	116613.05	1167.53	9988.33	99.8833	99.88
4414	IF A(H3N2)	HNS	2011/12	0.0	2011	9988.0	116716.0	1169.0	295.0	116613.05	1167.53	9988.33	99.8833	99.88
4415	IF A/B not determined	HNS	2011/12	1.0	2011	9988.0	116716.0	1169.0	295.0	116613.05	1167.53	9988.33	99.8833	99.88
4416	IF B	HNS	2011/12	36.0	2011	9988.0	116716.0	1169.0	295.0	116613.05	1167.53	9988.33	99.8833	99.88
4417	IF C	HNS	2011/12	0.0	2011	9988.0	116716.0	1169.0	295.0	116613.05	1167.53	9988.33	99.8833	99.88
4418	not determined	HNS	2011/12	0.0	2011	9988.0	116716.0	1169.0	295.0	116613.05	1167.53	9988.33	99.8833	99.88
4419	IF A	KAL	2011/12	22.0	2011	108495.0	424510.0	391.0	295.0	424692.31	391.42	108501.48	1085.0148	1085.01
4420	IF A(H1N1) pandemic09	KAL	2011/12	1.0	2011	108495.0	424510.0	391.0	295.0	424692.31	391.42	108501.48	1085.0148	1085.01
4421	IF A(H1N1) prepandemic	KAL	2011/12	0.0	2011	108495.0	424510.0	391.0	295.0	424692.31	391.42	108501.48	1085.0148	1085.01
4422	IF A(H1N2)	KAL	2011/12	0.0	2011	108495.0	424510.0	391.0	295.0	424692.31	391.42	108501.48	1085.0148	1085.01
4423	IF A(H3N2)	KAL	2011/12	4.0	2011	108495.0	424510.0	391.0	295.0	424692.31	391.42	108501.48	1085.0148	1085.01
4424	IF A/B not determined	KAL	2011/12	0.0	2011	108495.0	424510.0	391.0	295.0	424692.31	391.42	108501.48	1085.0148	1085.01
4425	IF B	KAL	2011/12	9.0	2011	108495.0	424510.0	391.0	295.0	424692.31	391.42	108501.48	1085.0148	1085.01
4426	IF C	KAL	2011/12	0.0	2011	108495.0	424510.0	391.0	295.0	424692.31	391.42	108501.48	1085.0148	1085.01
4427	not determined	KAL	2011/12	0.0	2011	108495.0	424510.0	391.0	295.0	424692.31	391.42	108501.48	1085.0148	1085.01
4428	IF A	KAS	2011/12	50.0	2011	17346.0	291995.0	1683.0	295.0	295009.27	1700.83	17345.05	173.4505	173.45
4429	IF A(H1N1) pandemic09	KAS	2011/12	2.0	2011	17346.0	291995.0	1683.0	295.0	295009.27	1700.83	17345.05	173.4505	173.45
4430	IF A(H1N1) prepandemic	KAS	2011/12	0.0	2011	17346.0	291995.0	1683.0	295.0	295009.27	1700.83	17345.05	173.4505	173.45
4431	IF A(H1N2)	KAS	2011/12	0.0	2011	17346.0	291995.0	1683.0	295.0	295009.27	1700.83	17345.05	173.4505	173.45
4432	IF A(H3N2)	KAS	2011/12	2.0	2011	17346.0	291995.0	1683.0	295.0	295009.27	1700.83	17345.05	173.4505	173.45
4433	IF A/B not determined	KAS	2011/12	1.0	2011	17346.0	291995.0	1683.0	295.0	295009.27	1700.83	17345.05	173.4505	173.45
4434	IF B	KAS	2011/12	32.0	2011	17346.0	291995.0	1683.0	295.0	295009.27	1700.83	17345.05	173.4505	173.45
4435	IF C	KAS	2011/12	0.0	2011	17346.0	291995.0	1683.0	295.0	295009.27	1700.83	17345.05	173.4505	173.45
4436	not determined	KAS	2011/12	0.0	2011	17346.0	291995.0	1683.0	295.0	295009.27	1700.83	17345.05	173.4505	173.45
4437	IF A	KN	2011/12	52.0	2011	81798.0	268263.0	328.0	295.0	269378.87	329.33	81797.33	817.9733	817.97
4438	IF A(H1N1) pandemic09	KN	2011/12	9.0	2011	81798.0	268263.0	328.0	295.0	269378.87	329.33	81797.33	817.9733	817.97
4439	IF A(H1N1) prepandemic	KN	2011/12	0.0	2011	81798.0	268263.0	328.0	295.0	269378.87	329.33	81797.33	817.9733	817.97
